Country Name;Country Code;Indicator Name;Indicator Code;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Argentina;ARG;Turismo internacional, número de llegadas;ST.INT.ARVL;2289000;2614000;2764000;3012000;2898000;2909000;2620000;2820000;2995000;3457000;3823000;4173000;4562000;4700000;4308000;6800000;6703000;6497000;6510000;7165000;6816000;6668000;6711000;6942000;7399000;
Bolivia;BOL;Turismo internacional, número de llegadas;ST.INT.ARVL;284000;313000;355000;387000;342000;319000;316000;334000;427000;480000;524000;521000;573000;594000;599000;679000;711000;798000;798000;871000;882000;961000;1109000;1142000;1239000;323299.9878
Brasil;BRA;Turismo internacional, número de llegadas;ST.INT.ARVL;1991000;2666000;2850000;4818000;5107000;5313000;4773000;3785000;4133000;4794000;5358000;5017000;5026000;5050000;4802000;5161000;5433000;5677000;5813000;6430000;6306000;6547000;6589000;6621000;6353000;
Chile;CHL;Turismo internacional, número de llegadas;ST.INT.ARVL;;;;;;;;;;;;;;3713000;3657000;3584000;3963000;4397000;4457000;4601000;5487000;6712000;7621000;6603000;5431000;
Colombia;COL;Turismo internacional, número de llegadas;ST.INT.ARVL;1433000;751000;758000;823000;725000;707000;788000;661000;668000;840000;981000;2096000;2381000;2545000;2649000;1701000;2356000;2434000;2595000;2866000;3371000;3675000;4056000;4397000;4531000;1396000
Costa Rica;CRI;Turismo internacional, número de llegadas;ST.INT.ARVL;924000;940000;1013000;1167000;1267000;1278000;1320000;1335000;1514000;1771000;1959000;2071000;2302000;2409000;2309000;2495000;2526000;2542000;2641000;2760000;2899000;3204000;3231000;3313000;3366000;1146500
República Dominicana;DOM;Turismo internacional, número de llegadas;ST.INT.ARVL;1806000;2037000;2482000;2702000;2932000;3161000;3090000;3058000;3680000;3907000;3981000;4268000;4365000;4455000;4489000;4478000;4654000;4901000;5114000;5576000;6129000;6769000;7296000;7551000;7550000;2748000
Ecuador;ECU;Turismo internacional, número de llegadas;ST.INT.ARVL;440000;494000;529000;511000;518000;627000;641000;683000;761000;819000;860000;841000;937000;1005000;968000;1047000;1141000;1272000;1364000;1695000;1676000;1569000;1806000;2535000;2108000;
El Salvador;SLV;Turismo internacional, número de llegadas;ST.INT.ARVL;;;;;;867000;804000;885000;798000;1030000;1306000;1501000;1720000;1875000;1482000;1606000;1634000;1738000;1822000;1886000;1973000;2052000;2247000;2536000;2639000;707000
Guatemala;GTM;Turismo internacional, número de llegadas;ST.INT.ARVL;563000;520000;576000;636000;823000;826000;835000;884000;880000;1182000;1316000;1502000;1628000;1715000;1311000;1384000;1434000;1491000;1516000;1739000;1865000;1906000;2120000;2406000;2560000;594000
Honduras;HND;Turismo internacional, número de llegadas;ST.INT.ARVL;;271000;310000;324000;428000;689000;672000;788000;887000;1026000;1118000;1136000;1309000;1561000;1589000;1965000;1852000;1903000;1857000;2082000;2093000;2228000;2144000;2323000;2315000;669000
México;MEX;Turismo internacional, número de llegadas;ST.INT.ARVL;85446000;90394000;92915000;95214000;99869000;105673000;100718000;100153000;92330000;99250000;103146000;97701000;93582000;92948000;88044000;81953000;75732000;76749000;78100000;81042000;87129000;94853000;99349000;96497000;97406000;51128000
Nicaragua;NIC;Turismo internacional, número de llegadas;ST.INT.ARVL;341000;388000;453000;483000;530000;581000;584000;579000;646000;735000;804000;891000;978000;1011000;1010000;1071000;1122000;1233000;1273000;1390000;1456000;1596000;1958000;1412000;1455000;474000
Panamá;PAN;Turismo internacional, número de llegadas;ST.INT.ARVL;417000;443000;504000;529000;555000;600000;737000;800000;897000;1004000;1070000;1215000;1428000;1575000;1562000;1726000;2004000;2086000;2202000;2305000;2553000;2379000;2517000;2487000;2494000;647000
Paraguay;PRY;Turismo internacional, número de llegadas;ST.INT.ARVL;15678000;12868000;10955000;9818000;6569000;3924000;3550000;3194000;2859000;2589000;2648000;2830000;3005000;3118000;3183000;3171000;3365000;3655000;3538000;3455000;4102000;4318000;4744000;4183000;4368000;1077000
Perú;PER;Turismo internacional, número de llegadas;ST.INT.ARVL;;;;;;;;;;1650000;1938000;2227000;2451000;2581000;2681000;2948000;3299000;3642000;4010000;4062000;4381000;4718000;4992000;5384000;5275000;1119000
Uruguay;URY;Turismo internacional, número de llegadas;ST.INT.ARVL;2177000;2258000;2463000;2324000;2273000;2236000;2136000;1354000;1508000;1871000;1917000;1824000;1815000;2255000;2303000;2708000;3244000;3155000;3242000;3195000;3286000;3632000;4219000;3954000;3480000;
Venezuela;VEN;Turismo internacional, número de llegadas;ST.INT.ARVL;879000;960000;933000;813000;702000;602000;792000;590000;435000;618000;846000;883000;898000;702000;567000;535000;625000;1061000;1085000;967000;882000;681000;429000;;;
España;ESP;Turismo internacional, número de llegadas;ST.INT.ARVL;52460000;55077000;62415000;68068000;72040000;74580000;75564000;79313000;82326000;85981000;92563000;96152000;98907000;97670000;91899000;93744000;99187000;98128000;103231000;107144000;109834000;115561000;121717000;124456000;126170000;36410000